id,created_at,visit_id,answer_text,answer_value,answer_photo_url,qaas_question_id,answer_list,original_answer
1,2025-06-14 07:24:22.940602+00,2,,10,,26,[],
2,2025-06-14 07:24:23.319062+00,2,,10,,21,[],
3,2025-06-14 07:24:24.680522+00,2,Albert Cuypstraat,,,15,[],
4,2025-06-14 07:24:59.35999+00,2,54,,,16,[],
5,2025-06-14 07:25:00.136062+00,2,"Cadia Pinot Glas
Viognier Glas
Beef tataki
Bao Ebi
Bao Chashu
Nasu Dengaku
Crispy Rice",,,17,[],
6,2025-06-14 07:26:14.804801+00,2,2025-06-14 00:00:00.000,,,18,[],
7,2025-06-14 07:26:39.674602+00,2,19:30,,,19,[],
8,2025-06-14 07:27:05.040298+00,2,20:24,,,20,[],
9,2025-06-14 07:28:52.331042+00,2,Ja,10,,24,[],
10,2025-06-14 07:29:30.365002+00,2,We liepen binnen en zijn zo dicht mogelijk bij de uitgang gaan zitten vanwege het weer. Er waren verder maar drie mensen binnen dus we werden opgemerkt. Een jongen kwam meteen naar ons toe.,,,25,[],
11,2025-06-14 07:29:31.796344+00,2,Ja,10,,29,[],
12,2025-06-14 07:29:52.587971+00,2,Er was maar één tafel bezet. Verder was de hele zaak leeg.,,,30,[],
13,2025-06-14 07:29:58.884992+00,2,,10,,41,[],
14,2025-06-14 07:30:04.512992+00,2,Ik kon direct geholpen worden,10,,28,[],
15,2025-06-14 07:30:07.651774+00,2,Ja,10,,31,[],
16,2025-06-14 07:30:13.681015+00,2,Er was verder bijna niemand.,,,32,[],
17,2025-06-14 07:30:16.151213+00,2,Ja,10,,33,[],
18,2025-06-14 07:30:35.156974+00,2,,10,,51,[],
19,2025-06-14 07:30:52.882972+00,2,Ik vroeg wat er in de ebi bao bun zat.,,,34,[],
20,2025-06-14 07:30:55.928387+00,2,Ja,10,,35,[],
21,2025-06-14 07:31:00.815807+00,2,Ja,10,,36,[],
22,2025-06-14 07:48:35.276199+00,2,,,questionnaire-photos/28a2ccb1-02ea-4acc-b083-6170af422b4a/2/42,42,[],
23,2025-06-14 07:48:38.057671+00,2,Ja,10,,43,[],
24,2025-06-14 07:48:43.250681+00,2,Ja,10,,45,[],
25,2025-06-14 07:48:48.663628+00,2,,10,,61,[],
26,2025-06-14 07:48:50.014711+00,2,Ja,10,,52,[],
27,2025-06-14 07:49:03.818483+00,2,"Alle tafels waren schoon, netjes. ",,,53,[],
28,2025-06-14 07:49:04.922407+00,2,Ja,10,,54,[],
29,2025-06-14 07:49:06.832391+00,2,Ja,10,,56,[],
30,2025-06-14 07:49:08.528204+00,2,,10,,70,[],
31,2025-06-14 07:49:11.469634+00,2,Ja,10,,62,[],
32,2025-06-14 07:49:13.574281+00,2,Nee,1,,64,[],
33,2025-06-14 07:49:15.498986+00,2,Ja,10,,66,[],
34,2025-06-14 07:49:17.596547+00,2,,10,,74,[],
35,2025-06-14 07:49:20.683872+00,2,Ja,10,,71,[],
36,2025-06-14 07:49:21.708996+00,2,Ja,10,,73,[],
37,2025-06-14 07:49:45.832671+00,2,"Super vriendelijk. Ondanks dat er niet zoveel te doen was, was de medewerker wel gepassioneerd.",,,75,[],
38,2025-06-14 07:49:45.842928+00,2,,,,77,[],
41,2025-06-18 13:13:21.497904+00,2,,10,,159,[],
42,2025-06-18 13:13:21.820626+00,2,,10,,182,[],
43,2025-06-18 13:13:23.928929+00,2,Albert Cuypstraat,,,184,[],
44,2025-06-18 13:13:50.735481+00,2,"Cadia Pinot Glas
Viognier Glas
Beef Tataki
Bao Ebi
Bao Chashu
Nasu Dengaku
Crispy Rice",,,186,[],
45,2025-06-18 13:14:07.276206+00,2,55,,,185,[],
46,2025-06-18 13:15:17.330274+00,2,2025-06-12 00:00:00.000,,,183,[],
47,2025-06-18 13:15:19.300423+00,2,19:32,,,179,[],
48,2025-06-18 13:15:32.701688+00,2,20.24,,,180,[],
49,2025-06-18 13:16:17.31846+00,2,Ja,10,,163,[],
50,2025-06-18 13:16:34.207437+00,2,Ja,10,,162,[],
51,2025-06-18 13:16:35.463414+00,2,"Er was maar een andere tafel bezet dus we werden vriendelijk ontvangen. ",,,160,[],
52,2025-06-18 13:16:44.520075+00,2,,10,,150,[],
53,2025-06-18 13:16:49.384077+00,2,Ik kon direct geholpen worden,10,,151,[],
54,2025-06-18 13:16:51.905154+00,2,Ja,10,,156,[],
55,2025-06-18 13:17:07.024262+00,2,Ja,10,,149,[],
56,2025-06-18 13:17:08.317231+00,2,Er was verder maar een tafel bezet dus we werden meteen geholpen.,,,154,[],
57,2025-06-18 13:17:19.609156+00,2,Ja,10,,147,[],
58,2025-06-18 13:17:22.549177+00,2,Ja,10,,148,[],
60,2025-06-18 13:17:59.073511+00,2,"Bijgerecht ",,,157,[],
61,2025-06-18 13:18:14.158907+00,2,Ja,10,,158,[],
64,2025-06-18 13:18:28.324387+00,2,,10,,187,[],
65,2025-06-18 13:18:49.696184+00,2,,,questionnaire-photos/28a2ccb1-02ea-4acc-b083-6170af422b4a/2/189,189,[],
66,2025-06-18 13:18:51.876241+00,2,Ja,10,,188,[],
67,2025-06-18 13:18:55.573423+00,2,Ja,10,,194,[],
68,2025-06-18 13:19:37.457001+00,2,Ja,10,,196,[],
69,2025-06-18 13:19:40.378496+00,2,"Het eten smaakte goed. De beef tataki was nog een beetje warm dus perfect. ",,,193,[],
70,2025-06-18 13:19:50.084467+00,2,Ja,10,,195,[],
71,2025-06-18 13:20:03.873595+00,2,,10,,197,[],
